"time","ticker","curr"
"2009-11-20","TPP",NA
"2009-11-20","TSRC",NA
"2009-11-20","UNIB",NA
"2009-11-20","VPTS",NA
"2009-11-20","YIPP",NA
"2009-11-21","AAVL",NA
"2009-11-21","ACFI",NA
"2009-11-21","BB",NA
"2009-11-21","BOTT",NA
"2009-11-21","BUZZ",NA
"2009-11-21","CHIA",NA
"2009-11-21","CHPS",NA
"2009-11-21","COFL",NA
"2009-11-21","CYBU",NA
"2009-11-21","DROO",NA
"2009-11-21","EEEEE",NA
"2009-11-21","FAER",NA
"2009-11-21","FISH",NA
"2009-11-21","HELT",NA
"2009-11-21","HUW",NA
"2009-11-21","KAUF",NA
"2009-11-21","KBAT",NA
"2009-11-21","KSON",NA
"2009-11-21","LDSC",NA
"2009-11-21","LUPE",NA
"2009-11-21","MPC",NA
"2009-11-21","MYNC",NA
"2009-11-21","NAKR",NA
"2009-11-21","NATN",NA
"2009-11-21","PDSS",NA
"2009-11-21","PEOP",NA
"2009-11-21","POWR",NA
"2009-11-21","SHRX",NA
"2009-11-21","SKBD",NA
"2009-11-21","SKEI",NA
"2009-11-21","SMUG",NA
"2009-11-21","SSS",NA
"2009-11-21","STFP",NA
"2009-11-21","SWNC",NA
"2009-11-21","TAG",NA
"2009-11-21","TNAH",NA
"2009-11-21","TNPT",NA
"2009-11-21","TPEG",NA
"2009-11-21","TPP",NA
"2009-11-21","TSRC",NA
"2009-11-21","UNIB",NA
"2009-11-21","VPTS",NA
"2009-11-21","YIPP",NA
"2009-11-22","AAVL",NA
"2009-11-22","ACFI",NA
"2009-11-22","BB",NA
"2009-11-22","BOTT",NA
"2009-11-22","BUZZ",NA
"2009-11-22","CHIA",NA
"2009-11-22","CHPS",NA
"2009-11-22","COFL",NA
"2009-11-22","CYBU",NA
"2009-11-22","DROO",NA
"2009-11-22","EEEEE",NA
"2009-11-22","FAER",NA
"2009-11-22","FISH",NA
"2009-11-22","HELT",NA
"2009-11-22","HUW",NA
"2009-11-22","KAUF",NA
"2009-11-22","KBAT",NA
"2009-11-22","KSON",NA
"2009-11-22","LDSC",NA
"2009-11-22","LUPE",NA
"2009-11-22","MPC",NA
"2009-11-22","MYNC",NA
"2009-11-22","NAKR",NA
"2009-11-22","NATN",NA
"2009-11-22","PDSS",NA
"2009-11-22","PEOP",NA
"2009-11-22","POWR",NA
"2009-11-22","SHRX",NA
"2009-11-22","SKBD",NA
"2009-11-22","SKEI",NA
"2009-11-22","SMUG",NA
"2009-11-22","SSS",NA
"2009-11-22","STFP",NA
"2009-11-22","SWNC",NA
"2009-11-22","TAG",NA
"2009-11-22","TNAH",NA
"2009-11-22","TNPT",NA
"2009-11-22","TPEG",NA
"2009-11-22","TPP",NA
"2009-11-22","TSRC",NA
"2009-11-22","UNIB",NA
"2009-11-22","VPTS",NA
"2009-11-22","YIPP",NA
"2009-11-23","AAVL",NA
"2009-11-23","ACFI",NA
"2009-11-23","BB",NA
"2009-11-23","BOTT",NA
"2009-11-23","BUZZ",NA
"2009-11-23","CHIA",NA
"2009-11-23","CHPS",NA
"2009-11-23","COFL",NA
"2009-11-23","CYBU",NA
"2009-11-23","DROO",NA
"2009-11-23","EEEEE",NA
"2009-11-23","FAER",NA
"2009-11-23","FISH",NA
"2009-11-23","HELT",NA
"2009-11-23","HUW",NA
"2009-11-23","KAUF",NA
"2009-11-23","KBAT",NA
"2009-11-23","KSON",NA
"2009-11-23","LDSC",NA
"2009-11-23","LUPE",NA
"2009-11-23","MPC",NA
"2009-11-23","MYNC",NA
"2009-11-23","NAKR",NA
"2009-11-23","NATN",NA
"2009-11-23","PDSS",NA
"2009-11-23","PEOP",NA
"2009-11-23","POWR",NA
"2009-11-23","SHRX",NA
"2009-11-23","SKBD",NA
"2009-11-23","SKEI",NA
"2009-11-23","SMUG",NA
"2009-11-23","SSS",NA
"2009-11-23","STFP",NA
"2009-11-23","SWNC",NA
"2009-11-23","TAG",NA
"2009-11-23","TNAH",NA
"2009-11-23","TNPT",NA
"2009-11-23","TPEG",NA
"2009-11-23","TPP",NA
"2009-11-23","TSRC",NA
"2009-11-23","UNIB",NA
"2009-11-23","VPTS",NA
"2009-11-23","YIPP",NA
"2009-11-24","AAVL",NA
"2009-11-24","ACFI",NA
"2009-11-24","BB",NA
"2009-11-24","BOTT",NA
"2009-11-24","BUZZ",NA
"2009-11-24","CHIA",NA
"2009-11-24","CHPS",NA
"2009-11-24","COFL",NA
"2009-11-24","CYBU",NA
"2009-11-24","DROO",NA
"2009-11-24","EEEEE",NA
"2009-11-24","FAER",NA
"2009-11-24","FISH",NA
"2009-11-24","HELT",NA
"2009-11-24","HUW",NA
"2009-11-24","KAUF",NA
"2009-11-24","KBAT",NA
"2009-11-24","KSON",NA
"2009-11-24","LDSC",NA
"2009-11-24","LUPE",NA
"2009-11-24","MPC",NA
"2009-11-24","MYNC",NA
"2009-11-24","NAKR",NA
"2009-11-24","NATN",NA
"2009-11-24","PDSS",NA
"2009-11-24","PEOP",NA
"2009-11-24","POWR",NA
"2009-11-24","SHRX",NA
"2009-11-24","SKBD",NA
"2009-11-24","SKEI",NA
"2009-11-24","SMUG",NA
"2009-11-24","SSS",NA
"2009-11-24","STFP",NA
"2009-11-24","SWNC",NA
"2009-11-24","TAG",NA
"2009-11-24","TNAH",NA
"2009-11-24","TNPT",NA
"2009-11-24","TPEG",NA
"2009-11-24","TPP",NA
"2009-11-24","TSRC",NA
"2009-11-24","UNIB",NA
"2009-11-24","VPTS",NA
"2009-11-24","YIPP",NA
"2009-11-25","AAVL",NA
"2009-11-25","ACFI",NA
"2009-11-25","BB",NA
"2009-11-25","BOTT",NA
"2009-11-25","BUZZ",NA
"2009-11-25","CHIA",NA
"2009-11-25","CHPS",NA
"2009-11-25","COFL",NA
"2009-11-25","CYBU",NA
"2009-11-25","DROO",NA
"2009-11-25","EEEEE",NA
"2009-11-25","FAER",NA
"2009-11-25","FISH",NA
"2009-11-25","HELT",NA
"2009-11-25","HUW",NA
"2009-11-25","KAUF",NA
"2009-11-25","KBAT",NA
"2009-11-25","KSON",NA
"2009-11-25","LDSC",NA
"2009-11-25","LUPE",NA
"2009-11-25","MPC",NA
"2009-11-25","MYNC",NA
"2009-11-25","NAKR",NA
"2009-11-25","NATN",NA
"2009-11-25","PDSS",NA
"2009-11-25","PEOP",NA
"2009-11-25","POWR",NA
"2009-11-25","SHRX",NA
"2009-11-25","SKBD",NA
"2009-11-25","SKEI",NA
"2009-11-25","SMUG",NA
"2009-11-25","SSS",NA
"2009-11-25","STFP",NA
"2009-11-25","SWNC",NA
"2009-11-25","TAG",NA
"2009-11-25","TNAH",NA
"2009-11-25","TNPT",NA
"2009-11-25","TPEG",NA
"2009-11-25","TPP",NA
"2009-11-25","TSRC",NA
"2009-11-25","UNIB",NA
"2009-11-25","VPTS",NA
"2009-11-25","YIPP",NA
"2009-11-26","AAVL",NA
"2009-11-26","ACFI",NA
"2009-11-26","BB",NA
"2009-11-26","BOTT",NA
"2009-11-26","BUZZ",NA
"2009-11-26","CHIA",NA
"2009-11-26","CHPS",NA
"2009-11-26","COFL",NA
"2009-11-26","CYBU",NA
"2009-11-26","DROO",NA
"2009-11-26","EEEEE",NA
"2009-11-26","FAER",NA
"2009-11-26","FISH",NA
"2009-11-26","HELT",NA
"2009-11-26","HUW",NA
"2009-11-26","KAUF",NA
"2009-11-26","KBAT",NA
"2009-11-26","KSON",NA
"2009-11-26","LDSC",NA
"2009-11-26","LUPE",NA
"2009-11-26","MPC",NA
"2009-11-26","MYNC",NA
"2009-11-26","NAKR",NA
"2009-11-26","NATN",NA
"2009-11-26","PDSS",NA
"2009-11-26","PEOP",NA
"2009-11-26","POWR",NA
"2009-11-26","SHRX",NA
"2009-11-26","SKBD",NA
"2009-11-26","SKEI",NA
"2009-11-26","SMUG",NA
"2009-11-26","SSS",NA
"2009-11-26","STFP",NA
"2009-11-26","SWNC",NA
"2009-11-26","TAG",NA
"2009-11-26","TNAH",NA
"2009-11-26","TNPT",NA
"2009-11-26","TPEG",NA
"2009-11-26","TPP",NA
"2009-11-26","TSRC",NA
"2009-11-26","UNIB",NA
"2009-11-26","VPTS",NA
"2009-11-26","YIPP",NA
"2009-11-27","AAVL",NA
"2009-11-27","ACFI",NA
"2009-11-27","BB",NA
"2009-11-27","BOTT",NA
"2009-11-27","BUZZ",NA
"2009-11-27","CHIA",NA
"2009-11-27","CHPS",NA
"2009-11-27","COFL",NA
"2009-11-27","CYBU",NA
"2009-11-27","DROO",NA
"2009-11-27","EEEEE",NA
"2009-11-27","FAER",NA
"2009-11-27","FISH",NA
"2009-11-27","HELT",NA
"2009-11-27","HUW",NA
"2009-11-27","KAUF",NA
"2009-11-27","KBAT",NA
"2009-11-27","KSON",NA
"2009-11-27","LDSC",NA
"2009-11-27","LUPE",NA
"2009-11-27","MPC",NA
"2009-11-27","MYNC",NA
"2009-11-27","NAKR",NA
"2009-11-27","NATN",NA
"2009-11-27","PDSS",NA
"2009-11-27","PEOP",NA
"2009-11-27","POWR",NA
"2009-11-27","SHRX",NA
"2009-11-27","SKBD",NA
"2009-11-27","SKEI",NA
"2009-11-27","SMUG",NA
"2009-11-27","SSS",NA
"2009-11-27","STFP",NA
"2009-11-27","SWNC",NA
"2009-11-27","TAG",NA
"2009-11-27","TNAH",NA
